class,ensembl,gene_symbol
post_treatment_only,ENSG00000050730,TNIP3
post_treatment_only,ENSG00000050748,MAPK9
post_treatment_only,ENSG00000051523,CYBA
post_treatment_only,ENSG00000051596,THOC3
post_treatment_only,ENSG00000051825,MPHOSPH9
post_treatment_only,ENSG00000052723,SIKE1
post_treatment_only,ENSG00000052802,MSMO1
post_treatment_only,ENSG00000052841,TTC17
post_treatment_only,ENSG00000053254,FOXN3
post_treatment_only,ENSG00000053372,MRTO4
post_treatment_only,ENSG00000053501,USE1
post_treatment_only,ENSG00000053702,NRIP2
post_treatment_only,ENSG00000054277,OPN3
post_treatment_only,ENSG00000054392,HHAT
post_treatment_only,ENSG00000054523,KIF1B
post_treatment_only,ENSG00000054690,PLEKHH1
post_treatment_only,ENSG00000054967,RELT
post_treatment_only,ENSG00000055044,NOP58
post_treatment_only,ENSG00000055118,KCNH2
post_treatment_only,ENSG00000055147,FAM114A2
post_treatment_only,ENSG00000055483,USP36
post_treatment_only,ENSG00000055917,PUM2
post_treatment_only,ENSG00000056097,ZFR
post_treatment_only,ENSG00000056277,ZNF280C
post_treatment_only,ENSG00000056558,TRAF1
post_treatment_only,ENSG00000056972,TRAF3IP2
post_treatment_only,ENSG00000057294,PKP2
post_treatment_only,ENSG00000057593,F7
post_treatment_only,ENSG00000057757,PITHD1
post_treatment_only,ENSG00000057935,MTA3
post_treatment_only,ENSG00000058056,USP13
post_treatment_only,ENSG00000058335,RASGRF1
post_treatment_only,ENSG00000058453,CROCC
post_treatment_only,ENSG00000058600,POLR3E
post_treatment_only,ENSG00000058729,RIOK2
post_treatment_only,ENSG00000058799,YIPF1
post_treatment_only,ENSG00000058804,NDC1
post_treatment_only,ENSG00000059573,ALDH18A1
post_treatment_only,ENSG00000059588,TARBP1
post_treatment_only,ENSG00000059804,SLC2A3
post_treatment_only,ENSG00000060237,WNK1
post_treatment_only,ENSG00000060339,CCAR1
post_treatment_only,ENSG00000060491,OGFR
post_treatment_only,ENSG00000060688,SNRNP40
post_treatment_only,ENSG00000060749,QSER1
post_treatment_only,ENSG00000061794,MRPS35
post_treatment_only,ENSG00000061936,SFSWAP
post_treatment_only,ENSG00000062282,DGAT2
post_treatment_only,ENSG00000062485,CS
post_treatment_only,ENSG00000062524,LTK
post_treatment_only,ENSG00000062650,WAPAL
post_treatment_only,ENSG00000063046,EIF4B
post_treatment_only,ENSG00000063180,CA11
post_treatment_only,ENSG00000063244,U2AF2
post_treatment_only,ENSG00000063587,ZNF275
post_treatment_only,ENSG00000063601,MTMR1
post_treatment_only,ENSG00000063660,GPC1
post_treatment_only,ENSG00000063761,ADCK1
post_treatment_only,ENSG00000063978,RNF4
post_treatment_only,ENSG00000064102,ASUN
post_treatment_only,ENSG00000064309,CDON
post_treatment_only,ENSG00000064545,TMEM161A
post_treatment_only,ENSG00000064547,LPAR2
post_treatment_only,ENSG00000064601,CTSA
