arm,arm_label,ensembl,gene_symbol,log2_fold_change,p_value,fdr,mean_unfavourable,mean_cured
DX,Pre-treatment,ENSG00000132356,PRKAA1,-0.056973485969136206,0.6621854669593195,0.8120146106682525,5.141885504281755,5.1988589902508915
DX,Pre-treatment,ENSG00000101460,MAP1LC3A,0.09095232784525287,0.6621854669593195,0.8120146106682525,4.033289603607002,3.9423372757617487
DX,Pre-treatment,ENSG00000167985,SDHAF2,-0.03518392451374375,0.6621854669593195,0.8120146106682525,5.125475040811379,5.160658965325123
DX,Pre-treatment,ENSG00000132003,ZSWIM4,-0.08583512049711528,0.6621854669593195,0.8120146106682525,3.1053362360550367,3.191171356552152
DX,Pre-treatment,ENSG00000163374,YY1AP1,0.041648277418571134,0.6621854669593195,0.8120146106682525,7.106408268201641,7.06475999078307
DX,Pre-treatment,ENSG00000203832,ENSG00000203832,-0.10306594346340026,0.6621854669593195,0.8120146106682525,1.1893700650120402,1.2924360084754405
DX,Pre-treatment,ENSG00000174807,CD248,-0.12080303943555348,0.6621854669593195,0.8120146106682525,2.718793100763229,2.8395961401987826
DX,Pre-treatment,ENSG00000084764,MAPRE3,0.004155252465614989,0.6621854669593195,0.8120146106682525,3.1769662187446324,3.1728109662790174
DX,Pre-treatment,ENSG00000149212,SESN3,-0.10434599433628566,0.6621854669593195,0.8120146106682525,5.862178179894205,5.966524174230491
DX,Pre-treatment,ENSG00000075420,FNDC3B,0.08016542522181158,0.6621854669593195,0.8120146106682525,6.040805829129572,5.96064040390776
DX,Pre-treatment,ENSG00000273245,RP11-434P11.2,0.019908961142197812,0.6621854669593195,0.8120146106682525,0.2930355703154686,0.2731266091732708
DX,Pre-treatment,ENSG00000105851,PIK3CG,0.038964887519496116,0.6621854669593195,0.8120146106682525,5.568999769936598,5.530034882417102
DX,Pre-treatment,ENSG00000185900,POMK,0.020273517994963464,0.6621854669593195,0.8120146106682525,0.6132274997282607,0.5929539817332973
DX,Pre-treatment,ENSG00000161021,MAML1,-0.023688793848670286,0.6621854669593195,0.8120146106682525,6.543247222255674,6.566936016104345
DX,Pre-treatment,ENSG00000183808,RBM12B,-0.0443750233212894,0.6621854669593195,0.8120146106682525,3.4019273653157827,3.446302388637072
DX,Pre-treatment,ENSG00000259539,CTD-2651B20.1,0.019482797020130616,0.6621854669593195,0.8120146106682525,0.20004419393950681,0.1805613969193762
DX,Pre-treatment,ENSG00000267260,CTD-2162K18.4,-0.031127376849514332,0.6621854669593195,0.8120146106682525,0.1719814533782966,0.20310883022781093
DX,Pre-treatment,ENSG00000137757,CASP5,0.13983618862717684,0.6621854669593195,0.8120146106682525,4.471539289827342,4.331703101200165
DX,Pre-treatment,ENSG00000162927,PUS10,-0.06215215256638951,0.6621854669593195,0.8120146106682525,1.791557684108529,1.8537098366749185
DX,Pre-treatment,ENSG00000180304,OAZ2,0.06032717349085637,0.6621854669593195,0.8120146106682525,7.935803691815108,7.875476518324252
DX,Pre-treatment,ENSG00000174796,THAP6,-0.029874705308297056,0.6621854669593195,0.8120146106682525,3.363915491308184,3.393790196616481
DX,Pre-treatment,ENSG00000136888,ATP6V1G1,-0.07912646037430715,0.6621854669593195,0.8120146106682525,5.498735017396164,5.577861477770472
DX,Pre-treatment,ENSG00000170161,GLIDR,-0.025826555805656848,0.6621854669593195,0.8120146106682525,0.2502727263112691,0.27609928211692597
