ensembl,mean_failure,mean_cure,log2FC,p_value,rank_biserial,fdr,gene_symbol
ENSG00000117523,2.0566532367759054,2.067362471065016,-0.007492791015583224,0.6156920008984262,0.11876075731497415,0.8374312853224096,PRRC2C
ENSG00000168495,1.6002068295990932,1.606622359259933,-0.005772471574635077,0.6156920008984262,0.11876075731497415,0.8374312853224096,POLR3D
ENSG00000157181,1.2949912718567227,1.3400152568341053,-0.04930705235175671,0.6156920008984262,0.11876075731497415,0.8374312853224096,ODR4
ENSG00000008282,1.8566596411461764,1.8484031498481233,0.006429914651262698,0.6156920008984262,-0.11876075731497426,0.8374312853224096,SYPL1
ENSG00000177030,1.7522773992838494,1.7557090209938981,-0.0028225794552964294,0.6156920008984262,0.11876075731497415,0.8374312853224096,DEAF1
ENSG00000176390,2.016540226035111,2.005169883251135,0.008157714206684676,0.6156920008984262,-0.11876075731497426,0.8374312853224096,CRLF3
ENSG00000263126,1.1108293524002035,1.1247342418646824,-0.017946949758306987,0.6156920008984262,0.11876075731497415,0.8374312853224096,ENSG00000263126
ENSG00000264278,0.36091946474579045,0.3057593771331971,0.23928020609469275,0.6171430047954094,-0.11531841652323571,0.8393170684399863,ZNF236-DT
ENSG00000133392,0.15503680793752947,0.14011511885819147,0.14599813598143627,0.6175952059771412,0.10843373493975905,0.8398442233131946,MYH11
ENSG00000258929,0.35459747404892195,0.31661878409011984,0.1634354098454858,0.6182659819439303,-0.11531841652323571,0.8406684683903509,ENSG00000258929
ENSG00000243772,0.6519945469140042,0.7414792144992142,-0.1855463524206669,0.6189032761626769,0.11531841652323582,0.8414470200693527,KIR2DL3
ENSG00000198848,1.3908919107874775,1.3902248383930964,0.0006920831736639024,0.6190707606634576,0.11531841652323582,0.841504639909457,CES1
ENSG00000166171,0.7653381887731326,0.8153916039578261,-0.0913957125169187,0.6190750892389345,0.11531841652323582,0.841504639909457,DPCD
ENSG00000179914,0.026040225644093012,0.1236397630234503,-2.2473288954782884,0.6198925685091364,0.08089500860585197,0.8425277587879483,ITLN1
ENSG00000164687,0.15445581949163195,0.18232950518853097,-0.23935381175310705,0.6207579575646224,0.10843373493975905,0.8431910550565481,FABP5
ENSG00000099866,0.27253826384183344,0.22821947668303585,0.25603687544584297,0.6215762033040748,-0.10671256454388978,0.8431910550565481,MADCAM1
ENSG00000178342,0.11755137984571515,0.04202131638624305,1.4840981891184186,0.6227480803706719,-0.06024096385542177,0.8431910550565481,KCNG2
ENSG00000272913,0.042461216423523476,0.00866287294645836,2.2932281060688893,0.6227480803706719,-0.06024096385542177,0.8431910550565481,LINC03052
ENSG00000255823,0.5026717601085916,0.3697252917886616,0.44316290296369054,0.6235726129477455,-0.10843373493975905,0.8431910550565481,ENSG00000255823
ENSG00000124257,0.06878767158126546,0.10803709785505226,-0.6513048562127158,0.6236376791034441,0.10499139414802061,0.8431910550565481,NEURL2
ENSG00000151693,0.26262229372243073,0.33807512352278435,-0.36435447127724957,0.6238808961302362,0.11187607573149738,0.8431910550565481,ASAP2
ENSG00000127903,0.05381224195627845,0.1277025927087189,-1.2467814809045963,0.6240229362694023,0.09466437177280551,0.8431910550565481,ZNF835
ENSG00000273148,0.10587635231225564,0.09807155866392465,0.11047368344289706,0.6243138676900082,0.10154905335628228,0.8431910550565481,LCDR
ENSG00000115112,0.20008516203597598,0.2488227275636493,-0.31450408291343973,0.6253771592067912,0.10327022375215145,0.8431910550565481,TFCP2L1
