ensembl,gene_symbol,mean_failure_log2,mean_cure_log2,log2FC,p_value,fdr
ENSG00000013503,POLR3B,2.202514893675487,2.455113533624356,-0.25259863994886933,0.004537813382252197,0.4539131519947744
ENSG00000198736,MSRB1,10.142863689083418,9.595496210645734,0.5473674784376836,0.004537813382252197,0.4539131519947744
ENSG00000136193,SCRN1,4.181468422641318,4.509733134694738,-0.32826471205341967,0.004537813382252197,0.4539131519947744
ENSG00000089094,KDM2B,5.001773050283515,5.255472650091064,-0.25369959980754864,0.004801717128512276,0.4539131519947744
ENSG00000156973,PDE6D,4.348416081593873,4.173410238020814,0.17500584357305904,0.004801717128512276,0.4539131519947744
ENSG00000125900,SIRPD,2.5868958698876354,2.2048758314735557,0.3820200384140797,0.004801717128512276,0.4539131519947744
ENSG00000146416,AIG1,4.33046482097194,3.93714754933799,0.39331727163395014,0.004801717128512276,0.4539131519947744
ENSG00000215067,AC027763.2,3.123663243236064,2.8696436111179375,0.2540196321181263,0.004801717128512276,0.4539131519947744
ENSG00000224397,LINC01272,8.205990964187713,7.686182994848044,0.5198079693396691,0.004801717128512276,0.4539131519947744
ENSG00000163686,ABHD6,2.7369700531005945,2.9846285467916434,-0.24765849369104886,0.004801717128512276,0.4539131519947744
ENSG00000175274,TP53I11,7.717381999873406,7.193941575366317,0.5234404245070889,0.004801717128512276,0.4539131519947744
ENSG00000144468,RHBDD1,4.128488471037618,4.343371370539114,-0.21488289950149664,0.004801717128512276,0.4539131519947744
ENSG00000139433,GLTP,6.2279234802892445,5.990987448984447,0.2369360313047979,0.004801717128512276,0.4539131519947744
ENSG00000163935,SFMBT1,2.53303812841087,2.8790098757193756,-0.3459717473085058,0.004801717128512276,0.4539131519947744
ENSG00000197956,S100A6,10.098370808432929,9.57434796639441,0.5240228420385193,0.004801717128512276,0.4539131519947744
ENSG00000171840,NINJ2,5.453102663108571,4.961649775051406,0.49145288805716536,0.004801717128512276,0.4539131519947744
ENSG00000272810,U91328.22,-1.5931635978036514,-2.397686620809903,0.8045230230062514,0.005078539245589737,0.4539131519947744
ENSG00000081760,AACS,3.2162817778252313,3.489329693726225,-0.27304791590099375,0.005078539245589737,0.4539131519947744
ENSG00000075945,KIFAP3,3.3335872669373634,3.610446571733064,-0.27685930479570064,0.005078539245589737,0.4539131519947744
ENSG00000167601,AXL,-2.8111022197339004,-1.5732821003340798,-1.2378201193998206,0.005078539245589737,0.4539131519947744
ENSG00000077454,LRCH4,8.705173345929328,8.469862205035147,0.23531114089418104,0.005078539245589737,0.4539131519947744
ENSG00000176563,CNTD1,-2.07638382466552,-2.766106409406279,0.6897225847407586,0.005078539245589737,0.4539131519947744
ENSG00000115648,MLPH,-3.611421054268857,-5.557396668595577,1.94597561432672,0.005078539245589737,0.4539131519947744
ENSG00000198420,FAM115A,-0.19125500700063672,0.2628899553145442,-0.45414496231518087,0.005078539245589737,0.4539131519947744
ENSG00000163636,PSMD6,5.857443615816649,5.674938018370243,0.18250559744640604,0.005078539245589737,0.4539131519947744
ENSG00000189091,SF3B3,6.184259514524916,6.460215821286308,-0.27595630676139216,0.00536879583657283,0.4539131519947744
ENSG00000117385,LEPRE1,4.602322503744886,4.773855890165906,-0.17153338642101978,0.00536879583657283,0.4539131519947744
ENSG00000186431,FCAR,6.3003174382242895,5.666660459422526,0.6336569788017634,0.00536879583657283,0.4539131519947744
ENSG00000086102,NFX1,4.989653564836679,5.188744007605201,-0.1990904427685214,0.00536879583657283,0.4539131519947744
ENSG00000159377,PSMB4,7.810980323863395,7.518393737722125,0.29258658614126976,0.00536879583657283,0.4539131519947744
ENSG00000068784,SRBD1,4.9819312603505095,4.62919339046744,0.3527378698830699,0.00536879583657283,0.4539131519947744
ENSG00000185668,POU3F1,-5.784944001054462,-4.2055102223623795,-1.5794337786920822,0.00536879583657283,0.4539131519947744
